1T7tMv-SPXu0XujGUWtckKrNpUF7kegCF   ref_2.3_airy_flatPS.uvh5    bin    32.5 MB    2020-05-22 10:55:07
1KCQVfPggalb1SGuXmYQebR9fjGmgdZjm   ref_2.3_airy_gsm.uvh5       bin    32.5 MB    2020-05-22 10:54:56
13y9IhLGjDOkNKBF9duzdsg2UG-HmLh9n   ref_2.2_uvbeam_gleam.uvh5   bin    32.5 MB    2020-05-22 10:54:54
1_q8yFO7RbevYRrY5QSFK_aJPLlqM4rrt   ref_1.2_uniform.uvh5        bin    104.0 MB   2020-03-04 14:27:54
1fymrsA6ala-ddG4__wjNUxFqxvIQDq_Y   ref_1.3_uniform.uvh5        bin    8.6 MB     2020-03-04 14:27:50
1_MJIyPkbrutdBMT2hgh6V7E797p1Piw9   ref_1.1_uniform.uvh5        bin    500.9 KB   2020-03-04 14:27:48
1rKcpBQfLsd0COOHhDMX1S9Lf99V4RvLQ   ref_1.3_gauss.uvh5          bin    8.6 MB     2020-03-04 14:27:47
17cMeT88OnoGpnjO2vDmcct7tbzRS4qJy   ref_1.4_gauss.uvh5          bin    27.7 KB    2020-03-04 14:27:46
1E-x8PhlnfDgO62cQRiPvMCcVw9AKUs2k   ref_1.2_gauss.uvh5          bin    104.0 MB   2020-03-04 14:27:45
1p5G4yjdWu812iNNQ4ll5BMhgRwe2ELhs   ref_1.1_hera.uvh5           bin    500.9 KB   2020-03-04 14:27:40
1f5A-eQZ-77i_gTSnTyPBYfjfaOASpdv4   ref_1.2_hera.uvh5           bin    104.0 MB   2020-03-04 14:27:39
1w-Kx6xnTOLZctYpH6Ki1yofhQvviq1TT   ref_1.1_gauss.uvh5          bin    500.9 KB   2020-03-04 14:27:34
19D7mkISqv4CXhCbEo-q7O0q1qcsmomqy   ref_1.2_zenith_1freq_uniform.uvh5     bin    1.8 MB     2020-05-22 12:47:31
1bij8iAXDD9SAFHmHHMtsI3ZIDfZJ1mWy   ref_1.2_zenith_10freqs_gauss.uvh5     bin    10.1 MB    2020-05-22 12:47:30
1_1JQ0lMrWZSVH9ZNGjh19hihmL7UVvC9   ref_1.2_zenith_1freq_gauss.uvh5       bin    1.8 MB     2020-05-22 12:47:29
1e5O7ece6F3IajT5HXZLdvkRzSxZ5Yi-D   ref_1.2_zenith_1freq_airy.uvh5        bin    1.8 MB     2020-05-22 12:47:28
1CIe5Ah2jl9bj_MzmQ9e8ZyBfzFDy80iQ   ref_1.2_zenith_10freqs_airy.uvh5      bin    10.1 MB    2020-05-22 12:47:26
1bYcdD5pGx89BCyWLBhmdi-F7XauNQgYh   ref_1.2_zenith_10freqs_uniform.uvh5   bin    10.1 MB    2020-05-22 12:47:25
